state,county
LA,Acadia
VA,Accomack
ID,Ada
IA,Adair
CO,Adams
IA,Adams
IL,Adams
MS,Adams
NE,Adams
OH,Adams
PA,Adams
WA,Adams
VT,Addison
SC,Aiken
FL,Alachua
NC,Alamance
CA,Alameda
NY,Albany
WY,Albany
VA,Albemarle
VA,Alexandria City
MI,Alger
IA,Allamakee
MI,Allegan
MD,Allegany
PA,Allegheny
IN,Allen
LA,Allen
OH,Allen
MI,Alpena
CA,Amador
VA,Amelia
VA,Amherst
AK,Anchorage
KY,Anderson
SC,Anderson
TN,Anderson
TX,Anderson
TX,Andrews
ME,Androscoggin
TX,Angelina
MD,Anne Arundel
MN,Anoka
NC,Anson
MI,Antrim
VA,Appomattox
TX,Aransas
CO,Arapahoe
CO,Archuleta
MI,Arenac
VA,Arlington
ME,Aroostook
LA,Ascension
NC,Ashe
OH,Ashtabula
WA,Asotin
KS,Atchison
OH,Athens
NJ,Atlantic
MO,Audrain
IA,Audubon
VA,Augusta
TX,Austin
AL,Autauga
FL,Baker
AL,Baldwin
GA,Baldwin
MD,Baltimore
MD,Baltimore City
GA,Banks
ID,Bannock
MA,Barnstable
SC,Barnwell
KY,Barren
WI,Barron
GA,Barrow
MI,Barry
MO,Barry
IN,Bartholomew
KS,Barton
GA,Bartow
TX,Bastrop
AR,Baxter
FL,Bay
MI,Bay
SD,Beadle
ID,Bear Lake
NC,Beaufort
SC,Beaufort
LA,Beauregard
PA,Beaver
MN,Becker
OK,Beckham
PA,Bedford
TN,Bedford
VA,Bedford
NH,Belknap
TX,Bell
OH,Belmont
MN,Beltrami
ID,Benewah
VT,Bennington
AR,Benton
IN,Benton
OR,Benton
WA,Benton
MI,Benzie
NJ,Bergen
SC,Berkeley
WV,Berkeley
PA,Berks
MA,Berkshire
NM,Bernalillo
GA,Berrien
MI,Berrien
TX,Bexar
GA,Bibb
WY,Big Horn
ID,Bingham
IA,Black Hawk
IN,Blackford
NC,Bladen
ID,Blaine
PA,Blair
TX,Blanco
GA,Bleckley
TN,Blount
MN,Blue Earth
ID,Bonner
ID,Bonneville
IA,Boone
IL,Boone
IN,Boone
KY,Boone
MO,Boone
TX,Bosque
LA,Bossier
VA,Botetourt
CO,Boulder
KY,Bourbon
TX,Bowie
UT,Box Elder
KY,Boyd
KY,Boyle
FL,Bradford
PA,Bradford
TN,Bradley
MI,Branch
TX,Brazoria
TX,Brazos
KY,Breckinridge
IA,Bremer
FL,Brevard
TX,Brewster
MA,Bristol
RI,Bristol
VA,Bristol City
MT,Broadwater
WV,Brooke
SD,Brookings
GA,Brooks
NY,Broome
CO,Broomfield
FL,Broward
IN,Brown
KS,Brown
TX,Brown
WI,Brown
NC,Brunswick
VA,Brunswick
GA,Bryan
OK,Bryan
IA,Buchanan
MO,Buchanan
VA,Buckingham
PA,Bucks
VA,Buena Vista City
WI,Buffalo
KY,Bullitt
GA,Bulloch
NC,Buncombe
IL,Bureau
ND,Burleigh
TX,Burleson
NJ,Burlington
TX,Burnet
AL,Butler
KS,Butler
OH,Butler
PA,Butler
CA,Butte
GA,Butts
NC,Cabarrus
WV,Cabell
LA,Caddo
CA,Calaveras
MO,Caldwell
TX,Caldwell
VT,Caledonia
AL,Calhoun
IA,Calhoun
MI,Calhoun
TX,Callahan
MO,Callaway
KY,Calloway
WI,Calumet
MD,Calvert
GA,Camden
MO,Camden
NC,Camden
NJ,Camden
TX,Cameron
KY,Campbell
VA,Campbell
OK,Canadian
TN,Cannon
ID,Canyon
MO,Cape Girardeau
MT,Carbon
PA,Carbon
UT,Carbon
WY,Carbon
ID,Caribou
MN,Carlton
MD,Caroline
VA,Caroline
GA,Carroll
IA,Carroll
IL,Carroll
KY,Carroll
MD,Carroll
NH,Carroll
NV,Carson City
OK,Carter
TN,Carter
NC,Carteret
MN,Carver
MT,Cascade
IN,Cass
MI,Cass
MO,Cass
ND,Cass
NE,Cass
NC,Caswell
NC,Catawba
GA,Catoosa
NY,Cattaraugus
NY,Cayuga
MD,Cecil
PA,Centre
IA,Cerro Gordo
TX,Chambers
IL,Champaign
OH,Champaign
MD,Charles
VA,Charles City
SC,Charleston
MI,Charlevoix
FL,Charlotte
VA,Charlotte
GA,Chatham
NC,Chatham
GA,Chattahoochee
